htid	HTRecord	WWEnd ID	ISFDB ID	Title	Author	Year
uva.x030797365	102080428	18282	35057	The Eighth Galaxy Reader	Frederik Pohl	1965
mdp.39015013430304	906202	18283	35058	The Ninth Galaxy Reader	Frederik Pohl	1966
uva.x030797366	102080428	18283	35058	The Ninth Galaxy Reader	Frederik Pohl	1966
uva.x030797358	102080428	18284	35059	The Tenth Galaxy Reader	Frederik Pohl	1967
uva.x030797363	102080428	18285	35060	The Eleventh Galaxy Reader	Frederik Pohl	1969
mdp.39015003488528	702035	18286	34221	Galaxy: Thirty Years of Innovative Science Fiction	Martin H. Greenberg & Joseph D. Olander & Frederik Pohl	1980
pst.000030639546	7053099	18294	34650	A Century of Science Fiction	Damon Knight	1962
osu.32435059662239	101672938	18295	34227	The Big Book of Science Fiction	Groff Conklin	1950
mdp.39015014165461	1441726	18296	34607	A Treasury of Science Fiction	Groff Conklin	1948
pst.000021912436	7067263	18296	34607	A Treasury of Science Fiction	Groff Conklin	1948
uc1.32106011088132	1441726	18296	34607	A Treasury of Science Fiction	Groff Conklin	1948
pst.000012752874	6820628	18304	31874	The Magic May Return	Larry Niven	1981
pst.000011241850	12265504	18305	35463	More Magic	Larry Niven	1984
pst.000022746979	12263678	18320	606241	The Legend Book of Science Fiction	Gardner Dozois	1991
pst.000012384754	7039884	18323	1052151	The Science Fiction Hall of Fame, Volume III	Arthur C. Clarke & Geo W. Proctor	1981
pst.000012769308	7039884	18324	33477	The Science Fiction Hall of Fame, Volume IV	Terry Carr	1986
mdp.39015019938284	1020664	18352	34218	A Science Fiction Argosy	Damon Knight	1972
mdp.39015030128220	1020662	18354	34866	Astounding: John W. Campbell Memorial Anthology	Harry Harrison	1973
mdp.39015014285004	7141832	18369	34612	A Treasury of Great Science Fiction, Volume One	Anthony Boucher	1959
mdp.39076005189357	7141832	18369	34612	A Treasury of Great Science Fiction, Volume One	Anthony Boucher	1959
uc1.b3287417	7141832	18369	34612	A Treasury of Great Science Fiction, Volume One	Anthony Boucher	1959
umn.31951001200596w	7141832	18369	34612	A Treasury of Great Science Fiction, Volume One	Anthony Boucher	1959
mdp.39015014285384	7141832	18370	34613	A Treasury of Great Science Fiction, Volume Two	Anthony Boucher	1959
uc1.b3287418	7141832	18370	34613	A Treasury of Great Science Fiction, Volume Two	Anthony Boucher	1959
umn.31951001200597u	7141832	18370	34613	A Treasury of Great Science Fiction, Volume Two	Anthony Boucher	1959
mdp.39015014762275	1441743	18371	26931	Wandering Stars	Jack Dann	1974
mdp.39015001612939	33795	18390	34455	The New Atlantis and Other Novellas of Science Fiction	Robert Silverberg	1975
uc1.b4354419	6838430	18391	34761	Threads of Time	Robert Silverberg	1974
mdp.39015001451049	15531	18392	34868	Final Stage	Edward L. Ferman & Barry N. Malzberg	1974
uc1.b3870202	15531	18392	34868	Final Stage	Edward L. Ferman & Barry N. Malzberg	1974
mdp.39015064131595	4313397	18556	36492	The Green Man: Tales from the Mythic Forest	Ellen Datlow & Terri Windling	2002
mdp.39015001455750	101391	18817	35668	Speculations	Isaac Asimov & Alice Laurance	1982
uc1.b3472989	101391	18817	35668	Speculations	Isaac Asimov & Alice Laurance	1982
mdp.39015005885283	755977	19133	996684	Neglected Visions	Martin H. Greenberg & Barry N. Malzberg & Joseph D. Olander	1979
mdp.39015030931383	1464055	19248	34780	Chains of the Sea	Robert Silverberg	1973
uc1.32106006577115	7117667	19626	33707	Future Power	Jack Dann & Gardner Dozois	1976
mdp.39015060579227	5031053	19630	35893	The Man in the Moone and Other Lunar Fantasies	T. Allan Comp & Faith K. Pizor	1971
uc1.$b802681	5031053	19630	35893	The Man in the Moone and Other Lunar Fantasies	T. Allan Comp & Faith K. Pizor	1971
mdp.49015003147445	5542654	19836	179715	Futureshocks	Lou Anders	2006
uc1.b3870850	7881805	19917	34808	The Year's Finest Fantasy Volume 2	Terry Carr	1979
pst.000007756412	12269367	19918	34809	Fantasy Annual III	Terry Carr	1981
pst.000009451001	12269367	19920	34811	Fantasy Annual V	Terry Carr	1982
pst.000007408434	12268563	19922	34165	The Best Science Fiction Novellas of the Year #2	Terry Carr	1980
mdp.39015066783047	5288678	19938	937390	Science Fiction: The Very Best of 2005	Jonathan Strahan	2006
mdp.39015048515046	3479326	20084	35242	Skylife: Space Habitats in Story and Science	Gregory Benford & George Zebrowski	2000
uc1.32106006844861	5867123	20568	33772	Masterpieces of Terror and the Supernatural	Marvin Kaye & Saralee Kaye	1985
mdp.39015080843892	6836358	20894	995963	The Solaris Book of New Science Fiction: Volume Three	George Mann	2009
mdp.39015019062853	418571	21400	35470	The Science Fiction Yearbook	Jim Baen & John F. Carr & Jerry Pournelle	1985
mdp.39015030836798	218546	21424	34118	Anticipations	Christopher Priest	1978
uc1.b3862784	7881099	21424	34118	Anticipations	Christopher Priest	1978
uc1.b4937285	218546	21424	34118	Anticipations	Christopher Priest	1978
mdp.39015017643951	1438750	21498	34492	Nova 1	Harry Harrison	1970
pst.000027462188	12273548	21498	34492	Nova 1	Harry Harrison	1970
uc1.b4422352	1438750	21498	34492	Nova 1	Harry Harrison	1970
pst.000007363771	7040231	21527	33811	The Year's Best Fantasy Stories: 2	Lin Carter	1976
pst.000007363818	7040231	21528	33812	The Year's Best Fantasy Stories: 3	Lin Carter	1977
pst.000007363825	7040231	21529	33813	The Year's Best Fantasy Stories: 4	Lin Carter	1978
inu.30000067562433	7593849	21699	35313	The Lives of Dax	Marco Palmieri	1999
mdp.39015051107913	519231	21764	35067	Star Science Fiction Stories	Frederik Pohl	1953
mdp.39015051107905	519231	21765	35068	Star Science Fiction Stories No. 2	Frederik Pohl	1953
mdp.39015046811314	519231	21766	35069	Star Science Fiction Stories No. 3	Frederik Pohl	1955
mdp.39015005896660	100033853	21771	34224	Star of Stars	Frederik Pohl	1960
mdp.39015060887596	4963038	22676	170696	Galileo's Children: Tales of Science vs. Superstition	Gardner Dozois	2005
mdp.39015078788174	6766437	23337	876837	Poe	Ellen Datlow	2009
mdp.39015079150150	5931104	23337	876837	Poe	Ellen Datlow	2009
mdp.39015007010112	242231	23442	34451	Heroic Visions	Jessica Amanda Salmonson	1983
mdp.49015001363762	4519987	23790	33694	Omni Best Science Fiction One	Ellen Datlow	1992
pst.000012360031	7039837	23795	34852	The Third Omni Book of Science Fiction	Ellen Datlow	1985
pst.000012359899	7039833	23796	591133	The Fourth Omni Book of Science Fiction	Ellen Datlow	1985
pst.000014156960	7039843	23797	591057	The Fifth Omni Book of Science Fiction	Ellen Datlow	1987
pst.000018825046	12269370	23799	593205	The Seventh Omni Book of Science Fiction	Ellen Datlow	1989
mdp.39015061162296	4760346	23884	35475	Cutting Edge	Dennis Etchison	1986
inu.30000078605411	4597874	24003	36453	A Wolf at the Door and Other Retold Fairy Tales	Ellen Datlow & Terri Windling	2000
mdp.49015001357822	4519326	24347	33377	Universe 2	Karen Haber & Robert Silverberg	1992
mdp.49015002132133	4519326	24348	33378	Universe 3	Karen Haber & Robert Silverberg	1994
pst.000006569921	7040548	24350	34786	The Best of New Dimensions	Robert Silverberg	1979
mdp.39015005908812	272676	24367	34417	Yesterday's Tomorrows	Frederik Pohl	1982
mdp.39015064107280	5232107	24368	35322	Dark Detectives	Stephen Jones	1999
mdp.39015042558497	3493485	24655	34453	Millennial Women	Virginia Kidd	1978
mdp.39015019794885	201794	24656	34317	Interfaces	Virginia Kidd & Ursula K. Le Guin	1980
mdp.49015003276707	5937897	24685	36532	Mars Probes	Peter Crowther	2002
pst.000007409189	12268541	24709	35540	Alpha Two	Robert Silverberg	1971
pst.000007409172	12268541	24712	34074	Alpha 5	Robert Silverberg	1974
mdp.39015014321247	205962	24717	33478	The Fantasy Hall of Fame	Martin H. Greenberg & Robert Silverberg	1983
inu.39000013183947	7593851	24720	33443	Edges	Virginia Kidd & Ursula K. Le Guin	1980
pst.000007408991	12255575	24722	36106	The Year's Best Horror Stories, No. 1	Richard Davis	1971
pst.000007408786	12255575	24726	33663	The Year's Best Horror Stories: Series V	Gerald W. Page	1977
mdp.49015002054766	4533310	24742	33679	The Year's Best Horror Stories: XXI	Karl Edward Wagner	1993
mdp.39015010415951	764570	24839	1122065	A Treasury of Modern Fantasy	Terry Carr & Martin H. Greenberg	1981
mdp.39015053247345	340508	24842	34832	Habitats	Susan Shwartz	1984
mdp.39015069301797	5571672	24980	884831	Logorrhea: Good Words Make Good Stories	John Klima	2007
mdp.39015010918665	456267	25073	33710	Magicats!	Jack Dann & Gardner Dozois	1984
pst.000006569464	7039881	25135	25757	Galactic Empires Volume One	Brian W. Aldiss	1976
pst.000049696721	7039881	25136	34970	Galactic Empires Volume Two	Brian W. Aldiss	1976
pst.000013229726	7056937	25264	27843	Conan	L. Sprague de Camp & Lin Carter & Robert E. Howard	1967
mdp.39015084105009	6878672	26738	829173	Sideways in Crime	Lou Anders	2008
uva.x001534042	102065469	26998	35052	Best Science Fiction for 1972	Frederik Pohl	1972
mdp.49015002803030	4598055	28311	36503	Science Fiction: DAW 30th Anniversary	Sheila E. Gilbert & Elizabeth R. Wollheim	2002
mdp.39015011047274	249485	28582	34034	Sword and Sorceress	Marion Zimmer Bradley	1984
mdp.39076000963590	249485	28582	34034	Sword and Sorceress	Marion Zimmer Bradley	1984
mdp.39076000963608	249485	28584	34036	Sword and Sorceress III	Marion Zimmer Bradley	1986
mdp.39076000948484	249485	28585	34037	Sword and Sorceress IV	Marion Zimmer Bradley	1987
pst.000062911030	12279294	28603	775485	Marion Zimmer Bradley's Sword and Sorceress XXII	Elisabeth Waters	2007
uva.x000445737	102090039	28825	34647	Thirteen French Science-Fiction Stories	Damon Knight	1965
mdp.39015058082556	3887180	28965	34693	The Best from the Rest of the World	Donald A. Wollheim	1976
uva.x000683458	101870610	28996	35868	Terra SF: The Year's Best European SF	Richard D. Nolane	1981
mdp.39015054507606	776661	28998	35869	Terra SF II: The Year's Best European SF	Richard D. Nolane	1983
mdp.39015046342476	121235	30350	1564197	Soviet Science Fiction	Uncredited	1960
uc1.$b389499	121235	30350	1564197	Soviet Science Fiction	Uncredited	1960
uc1.$b802732	9950608	30350	1564197	Soviet Science Fiction	Uncredited	1960
ppt.ssfcbz201808000041	121719	30351	36142	More Soviet Science Fiction	Uncredited	1961
uc1.32106009456366	121719	30351	36142	More Soviet Science Fiction	Uncredited	1961
mdp.39015008494166	719026	30352	35618	New Soviet Science Fiction	Uncredited	1979
mdp.39015060400358	4920280	31656	1136091	Synergy SF: New Science Fiction	George Zebrowski	2004
uva.x004791452	4920280	31656	1136091	Synergy SF: New Science Fiction	George Zebrowski	2004
mdp.39015058073100	4362195	32192	167869	Firebirds	Sharyn November	2003
osu.32435066988890	101806132	32556	36386	Great Science Fiction Adventures	Larry T. Shaw	1963
pst.000017894845	7056935	34957	522045	Invasions	Isaac Asimov & Martin H. Greenberg & Charles G. Waugh	1990
mdp.39015069130105	5400284	34967	461181	Sisters in Fantasy	Martin H. Greenberg & Susan Shwartz	1995
mdp.39015004314376	1013694	34969	36303	Tomorrow's Children	Isaac Asimov	1966
mdp.49015002628478	4581321	35538	529365	The Twilight Zone: Original Stories	Martin H. Greenberg & Richard Matheson & Charles G. Waugh	1985
mdp.39015001749434	2197054	35666	945856	Starships	Isaac Asimov & Martin H. Greenberg & Charles G. Waugh	1983
mdp.39015004691096	1020666	35910	34754	Men and Machines	Robert Silverberg	1968
mdp.39015030764453	1370386	36937	34055	Beyond the Barriers of Space and Time	Judith Merril	1954
uc1.b3545502	1370386	36937	34055	Beyond the Barriers of Space and Time	Judith Merril	1954
mdp.39015003969873	18280	38175	996286	13 Crimes of Science Fiction	Isaac Asimov & Martin H. Greenberg & Charles G. Waugh	1979
mdp.39015007040846	120854	N/A	26971	100 Great Fantasy Short Short Stories	Isaac Asimov & Terry Carr & Martin H. Greenberg	1984
mdp.39015030930278	720705	N/A	27800	Classic Science Fiction: The First Golden Age	Terry Carr	1978
uc1.b3870212	720705	N/A	27800	Classic Science Fiction: The First Golden Age	Terry Carr	1978
pst.000007408687	7039880	N/A	29978	Orion's Sword	Reginald Bretnor	1980
pst.000006569419	7039880	N/A	31585	Thor's Hammer	Reginald Bretnor	1979
mdp.39015029108399	2790291	N/A	32394	The Ultimate Witch	John Gregory Betancourt & Byron Preiss	1993
mdp.39015017692040	124422	N/A	33571	The Best from Universe	Terry Carr	1984
mdp.39015006191889	272253	N/A	33603	Analog's Children of the Future	Stanley Schmidt	1982
mdp.49015000499302	4431986	N/A	33606	War and Peace	Stanley Schmidt	1983
mdp.39015028685405	246450	N/A	33607	Aliens from Analog	Stanley Schmidt	1983
pst.000021659072	7067240	N/A	33609	Analog's Expanding Universe	Stanley Schmidt	1986
mdp.49015002568690	4543090	N/A	33612	Unknown Worlds: Tales from Beyond	Martin H. Greenberg & Stanley Schmidt	1988
mdp.39015019148686	1464041	N/A	33654	An Exaltation of Stars	Terry Carr	1973
inu.30000048825149	54052	N/A	33781	New Writings in SF 24	Kenneth Bulmer	1974
inu.30000048825131	54052	N/A	33782	New Writings in SF 25	Kenneth Bulmer	1975
inu.30000048825123	54052	N/A	33785	New Writings in SF 28	Kenneth Bulmer	1976
mdp.39015046431527	54052	N/A	33786	New Writings in SF 29	Kenneth Bulmer	1976
mdp.39015030933066	16545	N/A	33830	Tomorrow Today	George Zebrowski	1975
uc1.b4354461	16545	N/A	33830	Tomorrow Today	George Zebrowski	1975
mdp.39015041871776	848622	N/A	33908	A Very Large Array: New Mexico Science Fiction and Fantasy	Melinda M. Snodgrass	1987
mdp.39015000254519	1026920	N/A	33927	Science Fiction: The Future	Dick Allen	1971
uc1.b3472988	1026920	N/A	33927	Science Fiction: The Future	Dick Allen	1971
mdp.39015064094074	5223013	N/A	33935	Grails: Visitations of the Night	Richard Gilliam & Martin H. Greenberg & Edward E. Kramer	1994
mdp.39015063160801	5146412	N/A	33947	Science Fiction from China	Patrick D. Murphy & Dingbo Wu	1989
uc1.32106008714476	5146412	N/A	33947	Science Fiction from China	Patrick D. Murphy & Dingbo Wu	1989
uva.x001639035	5146412	N/A	33947	Science Fiction from China	Patrick D. Murphy & Dingbo Wu	1989
uc1.32106018772332	7137617	N/A	33948	The Best Japanese Science Fiction Stories	John L. Apostolou & Martin H. Greenberg	1989
uva.x001520569	101890407	N/A	33948	The Best Japanese Science Fiction Stories	John L. Apostolou & Martin H. Greenberg	1989
mdp.39015061468552	4988150	N/A	33975	Icarus & Angels: Flights of Fantasy	Gary Bowen	1996
uc1.32106006586751	7117639	N/A	33990	The Far Side of Time	Roger Elwood	1974
dul1.ark:/13960/t8md8n56r	2521690	N/A	33993	Storming the Reality Studio	Larry McCaffery	1991
mdp.39015024968599	2521690	N/A	33993	Storming the Reality Studio	Larry McCaffery	1991
mdp.39015017665772	555488	N/A	33998	Tesseracts	Judith Merril	1985
uva.x002228350	101944966	N/A	34001	Tesseracts 4	Michael Skeet & Lorna Toolis	1992
uva.x000239879	101864845	N/A	34053	Beyond Human Ken	Judith Merril	1952
inu.39000002826803	6056174	N/A	34068	Imagination Unlimited	Everett F. Bleiler & T. E. Dikty	1952
uva.x030786273	102088755	N/A	34069	Men of Space and Time	Everett F. Bleiler & T. E. Dikty	1953
mdp.39015000608797	1901332	N/A	34086	Mirror of Inifinity: A Critics' Anthology of Science Fiction	Robert Silverberg	1970
mdp.39015065698170	1421317	N/A	34086	Mirror of Inifinity: A Critics' Anthology of Science Fiction	Robert Silverberg	1970
uc1.32106012422611	1901332	N/A	34086	Mirror of Inifinity: A Critics' Anthology of Science Fiction	Robert Silverberg	1970
mdp.39015030931268	1441752	N/A	34129	Beachheads in Space	August Derleth	1952
mdp.39015013433084	558602	N/A	34131	The Golden Years of Science Fiction: Second Series	Isaac Asimov & Martin H. Greenberg	1983
mdp.39015014515558	558602	N/A	34132	The Golden Years of Science Fiction: Third Series	Isaac Asimov & Martin H. Greenberg	1984
uva.x000787179	102028120	N/A	34132	The Golden Years of Science Fiction: Third Series	Isaac Asimov & Martin H. Greenberg	1984
mdp.39015014514650	558602	N/A	34133	The Golden Years of Science Fiction: Fourth Series	Isaac Asimov & Martin H. Greenberg	1984
uva.x000862869	101994839	N/A	34133	The Golden Years of Science Fiction: Fourth Series	Isaac Asimov & Martin H. Greenberg	1984
mdp.39015014163797	558602	N/A	34134	The Golden Years of Science Fiction: Fifth Series	Isaac Asimov & Martin H. Greenberg	1985
uva.x000528200	101862094	N/A	34229	Invaders of Earth	Groff Conklin	1952
pst.000021912450	7067529	N/A	34230	Omnibus of Science Fiction	Groff Conklin	1952
uc1.b3541071	6671269	N/A	34231	Possible Worlds of Science Fiction	Groff Conklin	1951
uva.x000494743	101864832	N/A	34233	Science Fiction Adventures in Dimension	Groff Conklin	1953
uva.x000050428	102059898	N/A	34234	Science Fiction Adventures in Mutation	Groff Conklin	1955
mdp.39015016460944	1441725	N/A	34237	Science-Fiction Thinking Machines	Groff Conklin	1954
mdp.39015018618788	1441725	N/A	34237	Science-Fiction Thinking Machines	Groff Conklin	1954
inu.30000047604883	7112433	N/A	34251	Modern Masterpieces of Science Fiction	Sam Moskowitz	1965
uc1.32106005940504	7112433	N/A	34251	Modern Masterpieces of Science Fiction	Sam Moskowitz	1965
mdp.49015001414128	4525310	N/A	34264	Looking Forward	Milton Lesser	1953
osu.32435060539608	101673038	N/A	34282	Space Police	Andre Norton	1956
pst.000006571351	7040321	N/A	34291	The End of Summer: Science Fiction of the Fifties	Barry N. Malzberg & Bill Pronzini	1979
mdp.49015000959693	4478661	N/A	34370	Those Who Can: A Science Fiction Reader	Robin Scott Wilson	1973
uiug.30112014069030	102697033	N/A	34374	The Petrified Planet	Fletcher Pratt	1952
uva.x000491854	101906006	N/A	34400	The Oddballs	Vic Ghidalia	1973
pst.000007408717	12268570	N/A	34437	Analog Yearbook	Ben Bova	1978
inu.30000001265085	7594457	N/A	34438	The Analog Anthology #1	Stanley Schmidt	1980
inu.39000000524178	7593853	N/A	34439	The Analog Anthology #2	Stanley Schmidt	1982
mdp.39015001117038	280392	N/A	34439	The Analog Anthology #2	Stanley Schmidt	1982
pst.000007889585	12268396	N/A	34499	Other Worlds 1	Roy Torgeson	1979
pst.000006571979	12268397	N/A	34500	Other Worlds 2	Roy Torgeson	1980
uc1.b3477285	6662959	N/A	34502	The Penguin Science Fiction Omnibus	Brian W. Aldiss	1973
pst.000007756283	12268560	N/A	34532	Chrysalis 6	Roy Torgeson	1980
uc1.b3870206	6738793	N/A	34555	Androids, Time Machines and Blue Giraffes	Roger Elwood & Vic Ghidalia	1973
uva.x000276674	101864831	N/A	34596	Giants Unleashed	Groff Conklin	1965
iau.31858006106367	100924595	N/A	34601	Science Fiction Omnibus	Groff Conklin	1956
osu.32435053366498	5814898	N/A	34601	Science Fiction Omnibus	Groff Conklin	1956
uva.x000527951	101892181	N/A	34605	Strange Adventures in Science Fiction	Groff Conklin	1954
uva.x000180107	1441753	N/A	34622	Beyond Time and Space	August Derleth	1950
mdp.39015016459920	1441755	N/A	34627	Portals of Tomorrow	August Derleth	1954
mdp.39015034605462	1903278	N/A	34627	Portals of Tomorrow	August Derleth	1954
uc1.b4562656	1441755	N/A	34627	Portals of Tomorrow	August Derleth	1954
mdp.39015014830106	1026922	N/A	34629	Time to Come	August Derleth	1954
mdp.39015024078555	1113047	N/A	34648	Beyond Tomorrow	Damon Knight	1965
mdp.39015021932101	1026925	N/A	34653	Dimension X	Damon Knight	1970
pst.000021120350	6813048	N/A	34655	First Contact	Damon Knight	1971
mdp.39015002498098	1026926	N/A	34659	One Hundred Years of Science Fiction	Damon Knight	1968
uc1.b3870846	1026926	N/A	34659	One Hundred Years of Science Fiction	Damon Knight	1968
uva.x000887674	101862090	N/A	34681	Perchance to Dream	Damon Knight	1972
mdp.39015024078472	1026927	N/A	34687	Toward Infinity	Damon Knight	1968
osu.32435057983116	5815186	N/A	34696	End of the World	Donald A. Wollheim	1956
uc1.b3523358	10117495	N/A	34706	Prize Science Fiction	Donald A. Wollheim	1953
mdp.49015000730797	4455363	N/A	34739	Futures to Infinity	Sam Moskowitz	1970
uc1.32106001705257	7112447	N/A	34740	Masterpieces of Science Fiction	Sam Moskowitz	1967
uc1.b3578290	6678002	N/A	34740	Masterpieces of Science Fiction	Sam Moskowitz	1967
